,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
27,Hamilton,90,CA,1562708979,41,43.26,-79.87,84.0,0.94
28,East London,0,ZA,1562708830,90,-33.02,27.91,52.13,3.47
29,Nikolskoye,90,RU,1562709037,93,59.7,30.79,57.0,6.71
30,Qaanaaq,100,GL,1562709038,84,77.48,-69.36,39.53,4.14
31,Port Elizabeth,1,US,1562709003,58,39.31,-74.98,89.01,6.93
32,Hermanus,0,ZA,1562709040,98,-34.42,19.24,55.0,14.83
33,Cape Town,0,ZA,1562708873,93,-33.93,18.42,55.99,5.82
34,Moron,97,HT,1562709043,68,18.56,-74.26,82.91,4.07
35,Saint-Philippe,1,CA,1562709044,35,45.36,-73.48,87.01,4.7
36,Tautira,20,PF,1562709045,61,-17.73,-149.15,82.4,3.36
37,Mataura,100,NZ,1562709046,98,-46.19,168.86,41.0,1.01
38,Gari,100,RU,1562709048,83,59.43,62.35,56.27,3.98
39,Dvinskoy,100,RU,1562709049,71,62.16,45.12,57.71,9.6
40,Malanville,100,NE,1562709050,82,11.86,3.39,74.63,2.59
41,Port Hedland,100,AU,1562709051,62,-20.31,118.58,59.0,9.17
42,Torbay,40,CA,1562709053,49,47.66,-52.73,69.01,19.46
43,Tubuala,90,PA,1562709054,88,9.52,-79.03,77.0,3.36
44,Labuhan,100,ID,1562708977,88,-2.54,115.51,73.01,0.2
45,Coahuayana,24,MX,1562709056,50,18.62,-100.35,92.99,1.59
46,Dossor,100,KZ,1562709057,33,47.52,52.98,87.77,14.81
47,Ushuaia,75,AR,1562709058,100,-54.81,-68.31,35.6,3.36
48,Waipawa,100,NZ,1562709061,92,-39.94,176.59,48.0,1.61
49,Bethel,1,US,1562709062,73,60.79,-161.76,75.2,9.17
50,Pokhara,100,NP,1562709064,83,28.21,83.99,57.71,2.39
51,Sur,100,OM,1562709065,51,22.57,59.53,87.05,16.64
52,Castro,75,CL,1562709067,100,-42.48,-73.76,51.8,8.05
53,Tuatapere,100,NZ,1562709068,98,-46.13,167.69,41.0,1.01
54,Pangnirtung,75,CA,1562709025,71,66.15,-65.72,57.2,2.24
55,Tasiilaq,40,GL,1562709070,81,65.61,-37.64,42.8,10.29
56,Murgab,0,TM,1562709072,47,37.5,61.97,80.6,4.7
57,Aykhal,0,RU,1562709074,67,65.95,111.51,59.0,6.71
58,Geraldton,90,CA,1562709075,54,49.72,-86.95,78.8,14.99
59,Arraial do Cabo,0,BR,1562709076,64,-22.97,-42.02,68.0,9.17
60,Deniliquin,0,AU,1562709077,93,-35.53,144.96,42.01,5.99
61,Yellowknife,75,CA,1562709078,62,62.45,-114.38,57.2,11.41
62,Jacareacanga,78,BR,1562709080,58,-6.22,-57.76,84.17,1.3
63,Puerto Ayora,40,EC,1562709081,57,-0.74,-90.35,80.6,21.92
64,Kahului,40,US,1562709082,52,20.89,-156.47,91.4,21.92
65,Carnarvon,0,ZA,1562709083,44,-30.97,22.13,52.31,5.7
66,Omsukchan,0,RU,1562709085,44,62.53,155.8,59.15,4.81
67,Kruisfontein,0,ZA,1562709086,87,-34.0,24.73,51.41,2.26
68,San Cristobal,52,HN,1562709087,54,14.68,-86.92,82.91,9.71
69,Barrow,0,AR,1562709088,67,-38.31,-60.23,51.95,5.37
70,Busselton,31,AU,1562709090,61,-33.64,115.35,57.0,17.13
71,Yeniseysk,74,RU,1562709092,83,58.45,92.17,57.53,4.5
72,Amahai,98,ID,1562709093,95,-3.31,129.0,79.0,7.96
73,Port Lincoln,0,AU,1562709035,73,-34.72,135.86,60.23,29.06
74,Los Llanos de Aridane,40,ES,1562709095,73,28.66,-17.92,71.6,11.41
75,Acapulco,20,MX,1562709098,74,16.86,-99.88,87.8,5.82
76,Reconquista,94,AR,1562709100,73,-29.14,-59.64,65.27,6.24
77,Guerrero Negro,0,MX,1562709101,83,27.97,-114.04,65.99,13.06
78,Kidal,7,ML,1562709102,30,18.44,1.41,93.35,11.12
79,Fortuna,40,US,1562709105,77,40.6,-124.16,72.0,9.17
80,Nynashamn,61,SE,1562709106,81,58.9,17.95,52.0,4.7
81,Dzaoudzi,0,YT,1562709108,78,-12.79,45.27,78.8,17.22
82,Hobart,75,AU,1562708839,75,-42.88,147.33,48.99,6.93
83,Aklavik,75,CA,1562709110,43,68.22,-135.01,69.8,6.93
84,Shieli,0,KZ,1562709112,17,44.18,66.74,85.43,11.5
85,Tilichiki,2,RU,1562708862,67,60.47,166.1,66.17,6.42
86,Montrose,90,GB,1562709115,93,56.71,-2.47,60.8,2.24
87,Esso,100,RU,1562709116,74,55.93,158.7,51.23,4.9
88,Cairns,75,AU,1562708819,83,-16.92,145.77,69.8,10.29
89,Georgetown,40,GY,1562709118,79,6.8,-58.16,84.2,13.87
90,Karratha,99,AU,1562709120,38,-20.74,116.85,66.89,6.02
91,San Felipe,0,CL,1562708853,99,-32.75,-70.73,55.0,3.83
92,Luderitz,0,NA,1562709123,52,-26.65,15.16,61.49,2.89
93,Mahebourg,20,MU,1562709124,94,-20.41,57.7,70.0,4.7
94,Hilo,90,US,1562709126,83,19.71,-155.08,82.99,3.36
95,Saint George,20,GR,1562709128,65,39.45,22.34,84.99,2.01
96,Saint-Augustin,90,CA,1562709129,33,45.63,-73.98,87.01,11.41
97,Samana,75,EC,1562709130,78,0.12,-76.97,78.8,2.24
98,Husavik,100,CA,1562709131,94,50.56,-96.99,68.0,3.0
99,Marzuq,89,YE,1562709133,30,14.4,46.47,83.45,7.02
100,Xochistlahuaca,92,MX,1562709134,67,16.79,-98.24,80.03,3.85
101,Katsuura,75,JP,1562709135,100,33.93,134.5,73.0,4.7
102,Sao Filipe,60,CV,1562709139,82,14.9,-24.5,73.55,18.88
103,Dikson,100,RU,1562709140,98,73.51,80.55,32.87,9.31
104,Esperance,90,AU,1562709142,87,-33.86,121.89,51.8,13.87
105,Khash,0,IR,1562709143,15,28.22,61.21,72.47,7.02
106,Vao,100,EE,1562709144,86,59.1,26.19,55.01,10.07
107,Cidreira,60,BR,1562709146,83,-30.17,-50.22,54.83,5.26
108,Tuktoyaktuk,40,CA,1562709147,42,69.44,-133.03,62.6,4.7
109,Tual,79,ID,1562709148,82,-5.67,132.75,78.23,22.82
110,Marandahalli,40,IN,1562709149,100,12.89,78.11,69.8,16.11
111,Ballina,100,IE,1562709150,86,54.11,-9.15,63.0,1.99
112,Sobolevo,63,RU,1562709152,95,54.43,31.9,50.15,7.2
113,Yuci,0,CN,1562709154,72,37.68,112.73,66.2,6.71
114,Port Alfred,0,ZA,1562709155,93,-33.59,26.89,57.0,1.99
115,Nouadhibou,0,MR,1562709157,77,20.93,-17.03,69.8,21.92
116,Gat,14,SN,1562709158,69,14.69,-16.54,80.6,8.05
117,Nishihara,90,JP,1562709159,82,35.74,139.53,69.01,4.7
118,Naron,20,ES,1562709160,88,43.52,-8.15,66.0,2.24
119,High Level,75,CA,1562709161,36,58.52,-117.13,64.4,6.93
120,Cherskiy,8,RU,1562709163,42,68.75,161.3,74.27,8.9
121,Fort Wellington,29,GY,1562709164,70,6.4,-57.6,82.73,6.13
122,Orchard Homes,1,US,1562709165,33,46.86,-114.05,78.01,3.36
123,Bayir,0,TR,1562709166,73,37.27,28.22,77.0,3.36
124,Farafangana,97,MG,1562709168,88,-22.82,47.83,64.73,4.47
125,Denpasar,40,ID,1562709016,94,-8.65,115.22,75.2,6.93
126,Avarua,20,CK,1562709170,69,-21.21,-159.78,78.8,8.05
127,Cockburn Town,40,TC,1562708957,70,21.46,-71.14,89.6,13.87
128,Boa Viagem,4,BR,1562709172,84,-5.13,-39.73,71.39,5.23
129,Shar,100,NG,1562709173,96,7.3,8.73,72.65,6.35
130,Marystown,2,CA,1562709175,81,47.17,-55.16,55.19,14.58
131,Vardo,40,US,1562709176,51,39.62,-77.74,87.01,4.7
132,Ankang,4,CN,1562709177,89,32.73,108.99,60.05,1.39
133,Butaritari,37,KI,1562709178,72,3.07,172.79,83.27,3.29
134,San Ramon,40,NI,1562709179,65,12.92,-85.84,78.8,4.7
135,Mitu,0,IR,1562709181,72,36.2,46.09,60.59,3.47
136,Kodiak,1,US,1562709182,17,39.95,-94.76,91.99,6.93
137,Kaitangata,100,NZ,1562709183,86,-46.28,169.85,39.99,4.0
138,Shahganj,100,IN,1562709184,93,26.06,82.68,78.41,18.99
139,Ixtapa,75,MX,1562708970,52,20.71,-105.21,87.8,18.34
140,Lagoa,0,PT,1562709102,77,37.14,-8.45,70.0,6.93
141,Peking,22,DE,1562709188,83,52.08,11.12,54.0,7.25
142,Portland,40,US,1562708680,31,43.66,-70.25,87.8,4.7
143,Jingdezhen,100,CN,1562709191,97,29.29,117.2,67.43,2.51
144,Ancud,75,CL,1562709192,100,-41.87,-73.83,51.8,8.05
145,Arriana,0,GR,1562709193,66,41.08,25.69,77.0,1.99
146,Atuona,33,PF,1562708930,74,-9.8,-139.03,80.57,10.4
147,Saquarema,0,BR,1562709196,64,-22.93,-42.51,71.6,9.17
148,Petropavlovsk-Kamchatskiy,20,RU,1562709197,87,53.05,158.65,55.4,4.47
149,Santa Ana,4,MX,1562709198,21,30.54,-111.12,102.0,1.99
150,Mujiayingzi,66,CN,1562709199,78,42.12,118.78,59.51,1.01
151,Kushiro,85,JP,1562709201,84,43.11,144.15,58.97,2.04
152,Victoria,75,BN,1562709202,94,5.28,115.24,75.2,1.12
153,Plettenberg Bay,0,ZA,1562709205,71,-34.05,23.37,55.73,2.21
154,Krasnoye,0,RU,1562709206,72,44.87,39.46,68.0,4.47
155,Bilibino,25,RU,1562709208,41,68.06,166.44,68.51,6.06
156,Cayenne,22,GF,1562709209,70,4.94,-52.33,86.0,6.93
157,San Patricio,0,PY,1562709210,84,-26.98,-56.83,63.83,4.41
158,Souillac,0,FR,1562709211,31,45.6,-0.6,73.99,9.17
159,Hasaki,40,JP,1562709212,88,35.73,140.83,64.4,9.17
160,Bandarbeyla,1,SO,1562709214,72,9.49,50.81,78.59,27.45
161,Ribeira Grande,100,PT,1562709216,87,38.52,-28.7,71.03,9.8
162,Sarahan,14,IN,1562709217,91,31.51,77.79,59.87,1.86
163,Alta Floresta,0,BR,1562709219,40,-9.87,-56.08,89.6,5.82
164,Ponta do Sol,0,BR,1562709221,56,-20.63,-46.0,58.97,5.3
165,Namibe,85,AO,1562709222,87,-15.19,12.15,67.25,4.9
166,Yumen,43,CN,1562709223,32,40.29,97.04,69.41,15.95
167,Yulara,0,AU,1562709224,52,-25.24,130.99,42.8,6.93
168,Kavaratti,99,IN,1562709225,75,10.57,72.64,84.71,18.37
169,Almaznyy,0,RU,1562709227,52,48.03,40.04,64.4,4.47
170,Pisco,90,PE,1562709228,30,-13.71,-76.2,71.6,8.05
171,Teguldet,99,RU,1562709229,97,57.31,88.17,55.37,4.63
172,Chokurdakh,94,RU,1562709231,46,70.62,147.9,69.77,7.63
173,Phayuha Khiri,100,TH,1562708963,64,15.46,100.14,80.21,8.48
174,Voh,0,NC,1562709238,68,-20.95,164.69,66.17,12.62
175,Paamiut,0,GL,1562709239,80,61.99,-49.67,46.37,11.3
176,Hithadhoo,7,MV,1562709240,72,-0.6,73.08,83.81,10.98
177,Beringovskiy,0,RU,1562709241,62,63.05,179.32,62.57,6.02
178,Bilimbay,0,RU,1562709243,82,56.96,59.82,57.2,6.71
179,Apolda,0,DE,1562709244,71,51.02,11.51,57.99,8.05
180,San Carlos de Bariloche,75,AR,1562709096,53,-41.13,-71.31,51.8,3.36
181,Cabo San Lucas,5,MX,1562709132,31,22.89,-109.91,97.0,5.82
182,Jumla,99,NP,1562709249,97,29.28,82.18,56.09,1.61
183,Kutum,0,SD,1562709251,41,14.2,24.66,81.11,2.37
184,Meulaboh,100,ID,1562709252,77,4.14,96.13,81.29,5.44
185,Sabang,32,PH,1562709253,97,13.8,121.11,73.19,2.35
186,Laharpur,100,IN,1562709256,78,27.71,80.9,82.01,5.01
187,Kentau,0,KZ,1562709258,18,43.52,68.5,80.21,11.68
188,Yoichi,20,JP,1562709259,82,43.19,140.77,64.99,9.17
189,Thinadhoo,4,MV,1562709261,78,0.53,72.93,83.63,13.06
190,Nanortalik,100,GL,1562709262,66,60.14,-45.24,46.55,4.74
191,Ipira,35,BR,1562709265,85,-27.41,-51.77,51.95,1.34
192,Ust-Nera,100,RU,1562709266,96,64.57,143.24,53.03,5.7
193,Nome,1,US,1562709267,63,30.04,-94.42,96.01,10.29
194,Bambanglipuro,8,ID,1562709268,85,-7.95,110.28,72.11,5.7
195,Uruacu,0,BR,1562708991,34,-14.52,-49.14,76.97,5.28
196,Port Macquarie,0,AU,1562709205,93,-31.43,152.91,46.0,5.82
197,Carbonia,0,IT,1562709272,78,39.17,8.53,82.4,8.05
198,Luanda,75,AO,1562709273,100,-8.83,13.24,71.6,5.82
199,Alofi,40,NU,1562709274,78,-19.06,-169.92,80.6,13.87
200,Rach Gia,20,VN,1562709275,100,10.02,105.08,77.0,2.24
201,Lunenburg,0,CA,1562709276,39,44.38,-64.32,79.0,10.0
202,Narsaq,100,GL,1562709278,24,60.91,-46.05,66.2,19.46
203,Talnakh,75,RU,1562709280,93,69.49,88.39,46.4,11.18
204,Paita,0,PE,1562709076,290,-5.09,-81.11,62.6,13.87
205,Kavieng,100,PG,1562709283,82,-2.57,150.8,78.59,3.85
206,Khatanga,100,RU,1562709285,88,71.98,102.47,49.25,5.79
207,Puerto Colombia,90,CO,1562709279,78,10.99,-74.96,82.4,9.17
208,Merauke,67,ID,1562709287,79,-8.49,140.4,77.15,18.14
209,Pasni,67,PK,1562709288,83,25.26,63.48,81.47,3.11
210,Grand Gaube,20,MU,1562709289,94,-20.01,57.66,70.0,4.7
211,Wanning,90,AT,1562709290,62,48.64,13.53,60.01,5.82
212,Altamira,20,BR,1562709292,94,-3.2,-52.21,77.0,2.24
213,Genhe,8,CN,1562709293,92,50.78,121.52,56.99,0.74
214,Lufilufi,62,WS,1562709294,94,-13.87,-171.6,78.01,3.0
215,Merin,87,NG,1562709295,97,7.55,3.99,72.65,3.85
216,Riachao das Neves,99,BR,1562708998,43,-11.75,-44.91,76.07,5.57
217,Takoradi,100,GH,1562709298,94,4.89,-1.75,72.47,3.49
218,Turayf,0,SA,1562709299,39,31.68,38.65,80.6,11.41
219,Iquitos,75,PE,1562709300,319,-3.75,-73.25,42.8,3.36
220,Ler,0,NO,1562709301,93,63.2,10.3,55.0,11.41
221,Semporna,75,MY,1562709302,94,4.48,118.61,75.2,4.7
222,Kondopoga,0,RU,1562709303,93,62.21,34.27,51.8,13.42
223,Tonantins,100,BR,1562709305,84,-2.86,-67.77,79.85,3.13
224,Bambous Virieux,20,MU,1562709306,94,-20.34,57.76,70.0,4.7
225,Sosnovo-Ozerskoye,0,RU,1562709307,74,52.53,111.54,53.93,1.28
226,La Ronge,75,CA,1562709308,63,55.1,-105.3,62.6,12.75
227,Bulembu,0,SZ,1562709311,58,-25.95,31.13,59.0,5.82
228,Bilecik,0,TR,1562709312,83,40.14,29.98,70.0,3.36
229,Eyl,68,SO,1562709313,67,7.98,49.82,78.59,28.23
230,Khorixas,79,NA,1562709314,12,-20.37,14.96,63.11,6.69
231,Ambilobe,22,MG,1562709316,82,-13.19,49.05,71.93,4.81
232,Cesena,100,IT,1562709317,78,44.14,12.24,73.99,3.36
233,Ust-Kut,68,RU,1562709318,78,56.78,105.75,58.43,1.88
234,Benguela,93,AO,1562709319,77,-12.58,13.4,70.49,5.35
235,Haines Junction,96,CA,1562709321,31,60.75,-137.51,67.97,4.63
236,Luwuk,100,ID,1562709298,97,-0.95,122.79,62.93,4.5
237,Road Town,40,VG,1562709293,70,18.42,-64.62,87.8,9.17
238,Bajil,42,ES,1562709325,56,38.23,-2.07,62.01,0.89
239,Dumai,100,ID,1562709100,93,1.68,101.45,74.99,3.33
240,Chapleau,75,CA,1562709327,37,47.85,-83.4,82.4,5.82
241,Ilulissat,20,GL,1562709328,46,69.22,-51.1,53.6,3.36
242,Pella,20,GR,1562709320,69,40.76,22.53,82.99,2.24
243,Anadyr,0,RU,1562709331,49,64.73,177.51,71.6,11.18
244,Oranjestad,20,AW,1562709332,74,12.52,-70.03,84.2,21.92
245,Tura,84,RU,1562709333,79,64.27,100.22,55.73,5.3
246,Brandon,1,US,1562709334,61,43.59,-96.57,84.99,13.87
247,Mar del Plata,0,AR,1562709269,70,-46.43,-67.52,45.83,3.89
248,Nuuk,75,GL,1562709337,87,64.17,-51.74,46.4,13.87
249,Monrovia,75,LR,1562709338,88,6.33,-10.8,78.8,11.25
250,Binga,0,ZW,1562709339,33,-17.62,27.34,58.97,4.83
251,Niny,69,RU,1562709341,56,44.49,43.95,68.33,11.74
252,Thompson,75,CA,1562709343,38,55.74,-97.86,73.4,9.17
253,Lobito,32,AO,1562709229,86,-12.35,13.55,67.07,4.47
254,Lompoc,1,US,1562709339,72,34.64,-120.46,75.99,13.87
255,San Carlos,100,NI,1562709346,61,11.12,-84.78,75.0,15.99
256,Tieli,73,CN,1562709347,92,46.98,128.05,69.05,4.72
257,Saskylakh,0,RU,1562709348,72,71.97,114.09,62.57,11.43
258,Boca do Acre,6,BR,1562709350,44,-8.76,-67.39,89.57,1.14
259,Warmbad,23,DE,1562709351,71,50.67,13.08,57.0,1.12
260,Makakilo City,40,US,1562709352,66,21.35,-158.09,89.6,10.29
261,Birjand,0,IR,1562709353,18,32.86,59.22,80.6,6.93
262,Manokwari,90,ID,1562709354,81,-0.87,134.08,73.01,4.85
263,Piranhas,60,BR,1562709356,94,-9.61,-37.76,70.13,7.87
264,Bure,90,NG,1562709358,93,10.52,10.33,70.49,3.58
265,El Jicaro,100,GT,1562709359,79,14.91,-89.89,75.71,2.82
266,Roverud,0,NO,1562709360,54,60.25,12.05,59.0,3.36
267,Christchurch,100,NZ,1562709104,93,-43.53,172.64,51.01,4.7
268,Batetskiy,35,RU,1562709363,93,58.65,30.3,51.77,8.32
269,Butterworth,75,MY,1562709364,88,5.4,100.37,82.4,3.36
270,Dalvik,0,SE,1562709365,87,57.79,14.13,55.99,5.82
271,Kaitong,100,CN,1562709366,84,44.81,123.15,72.29,3.8
272,Ivanovka,57,RU,1562709367,71,55.56,88.79,57.89,4.9
273,Smidovich,87,RU,1562709369,94,48.6,133.81,65.81,8.48
274,Shimoda,45,JP,1562709370,67,34.7,138.93,73.0,4.0
275,Beloha,0,MG,1562709371,77,-25.17,45.06,61.13,4.72
276,Walvis Bay,0,NA,1562709087,16,-22.95,14.51,73.4,6.93
277,Marovoay,0,MG,1562709375,83,-16.11,46.64,77.0,4.7
278,Saint Anthony,40,US,1562709197,28,43.97,-111.68,75.99,4.7
279,Ayolas,20,PY,1562709377,82,-27.39,-56.84,64.19,4.09
280,Metro,6,ID,1562709196,94,-5.11,105.31,72.83,2.84
281,Maniitsoq,100,GL,1562709131,80,65.42,-52.9,45.83,2.75
282,Nampula,0,MZ,1562709380,90,-15.12,39.26,59.15,5.88
283,Sao Joao da Barra,0,BR,1562709383,63,-21.64,-41.05,66.2,4.7
284,Barhi,75,IN,1562709384,94,24.31,85.42,78.8,2.24
285,Pitelino,100,RU,1562709385,93,54.58,41.81,54.29,8.03
286,Tsabong,0,BW,1562709387,31,-26.02,22.4,55.91,6.58
287,Snezhnogorsk,75,RU,1562709389,93,69.19,33.23,42.8,6.71
288,Iqaluit,40,CA,1562709390,38,63.75,-68.52,73.4,13.87
289,Weslaco,40,US,1562709167,44,26.16,-97.99,102.0,17.22
290,Robertson,0,AU,1562709392,81,-34.59,150.59,51.01,10.29
291,Mitsamiouli,1,KM,1562709393,78,-11.38,43.28,77.87,22.95
292,Contai,100,IN,1562709395,70,21.78,87.75,85.97,10.47
293,Tagusao,100,PH,1562709396,72,9.19,117.81,81.83,3.65
294,Ola,1,RU,1562709397,80,59.58,151.3,49.97,2.06
295,Provideniya,0,RU,1562709398,40,64.42,-173.23,73.4,8.95
296,Tongling,70,CN,1562709399,96,30.93,117.81,66.89,3.6
297,Agadez,1,NE,1562709401,36,16.97,7.99,91.4,3.36
298,Lorengau,99,PG,1562709287,85,-2.02,147.27,77.33,5.59
299,Gushikawa,75,JP,1562709403,88,26.35,127.87,82.4,16.11
300,Najran,40,SA,1562709404,12,17.54,44.22,96.8,8.05
301,Dire Dawa,87,ET,1562709405,55,9.59,41.86,72.29,13.13
302,Batangafo,100,CF,1562709406,90,7.3,18.29,73.19,2.51
303,Pocone,0,BR,1562709408,28,-16.26,-56.62,82.91,1.21
304,Khani,75,GE,1562709409,88,41.96,42.96,69.8,3.36
305,West Bay,90,CA,1562709410,64,49.34,-123.21,79.0,6.93
306,Harper,1,US,1562709411,66,30.3,-99.24,91.99,6.93
307,Inca,0,BO,1562709413,42,-14.81,-68.43,76.79,4.09
308,Xuddur,100,SO,1562709414,67,4.12,43.89,76.43,18.41
309,Zhangjiakou,100,CN,1562709415,76,40.77,114.88,58.61,3.74
310,Poum,33,MK,1562709416,82,41.28,20.71,59.87,1.97
311,Palana,99,RU,1562709418,87,59.08,159.95,51.23,4.7
312,Jackville,20,CI,1562709421,88,5.21,-4.42,75.2,10.29
313,Pouebo,0,NC,1562709422,67,-20.4,164.57,59.69,3.38
314,Saint-Francois,0,FR,1562709423,51,46.42,3.91,62.6,4.7
315,Champerico,75,MX,1562709424,55,16.38,-93.6,87.8,3.36
316,Kharan,0,PK,1562709426,34,28.58,65.42,83.99,8.86
317,Kamenka,36,MD,1562709427,84,48.03,28.7,51.01,5.91
318,Amazar,0,RU,1562709428,93,53.86,120.88,54.83,3.33
319,Huntsville,1,US,1562709429,46,34.73,-86.59,97.0,8.05
320,Safford,1,US,1562709431,13,32.83,-109.71,102.2,9.17
321,Kamina,53,CD,1562709433,31,-8.74,25.0,66.89,6.04
322,Zaykovo,100,RU,1562709434,76,57.56,62.76,58.25,7.27
323,Lebu,40,ET,1562709244,82,8.96,38.73,60.8,6.93
324,Kununurra,0,AU,1562709437,67,-15.77,128.74,59.0,5.82
325,Capao Bonito,0,BR,1562709438,81,-24.01,-48.35,54.65,2.77
326,Constitucion,75,MX,1562709440,64,23.99,-104.67,82.0,5.82
327,Kailua,40,US,1562709327,83,21.39,-157.74,89.6,11.41
328,Grandview,40,US,1562709438,55,38.89,-94.53,93.99,8.23
329,Kalianget,20,ID,1562709443,83,-7.35,109.91,71.6,1.12
330,Taltal,87,CL,1562709445,80,-25.41,-70.49,56.09,4.72
331,Pacifica,75,US,1562709335,87,37.61,-122.49,72.0,4.7
332,Mackay,90,CA,1562709448,100,53.65,-115.58,51.8,5.82
333,Chulumani,0,BO,1562709449,46,-16.41,-67.53,48.53,6.76
334,Hambantota,75,LK,1562709450,100,6.12,81.12,75.2,3.36
335,Kedrovyy,0,RU,1562709452,93,56.17,91.82,53.6,4.85
336,Togur,65,RU,1562709454,95,58.36,82.83,51.95,4.94
337,Longonjo,41,AO,1562709455,19,-12.91,15.25,55.55,5.14
338,Flinders,0,AU,1562709456,81,-34.58,150.85,51.01,10.29
339,Ankazoabo,72,MG,1562709457,73,-22.29,44.51,56.99,10.09
340,Karwar,100,IN,1562709460,84,14.8,74.13,80.57,16.26
341,Kunya,20,NG,1562709462,88,12.22,8.53,78.8,2.24
342,Basavana Bagevadi,97,IN,1562709463,81,16.57,75.97,74.09,15.5
343,Matagami,100,NG,1562709464,94,9.67,8.4,68.87,2.84
344,Hearst,100,CA,1562709466,34,49.69,-83.67,88.49,6.87
345,Mityana,0,UG,1562709467,95,0.4,32.05,62.75,1.34
346,Nouakchott,0,MR,1562709468,78,18.08,-15.98,75.2,17.22
347,Byron Bay,90,AU,1562709469,93,-28.65,153.62,57.0,4.7
348,Diffa,99,NE,1562709470,60,13.32,12.61,82.91,15.05
349,Pekan,75,MY,1562709472,94,3.49,103.39,77.0,1.12
350,Zaysan,100,KZ,1562709473,65,47.47,84.87,66.17,2.82
351,Zima,12,RU,1562709474,85,53.93,102.05,58.25,2.44
352,Rio Gallegos,75,AR,1562709475,100,-51.62,-69.22,39.2,4.7
353,Kassala,100,SD,1562709476,44,15.45,36.38,90.11,10.25
354,Bom Jardim,0,BR,1562709478,83,-7.8,-35.59,73.4,6.93
355,Tocopilla,81,CL,1562709479,84,-22.09,-70.2,58.97,15.57
356,Balgazyn,3,RU,1562709480,40,51.0,95.2,56.27,2.33
357,Otradnoye,90,RU,1562709481,87,59.77,30.8,57.0,6.71
358,Komsomolskiy,98,RU,1562709482,79,67.55,63.78,45.47,7.14
359,Yerbogachen,6,RU,1562709484,75,61.28,108.01,59.87,1.72
360,Shitkino,0,RU,1562709485,60,56.37,98.35,58.43,4.72
361,Broken Hill,0,AU,1562709486,86,-31.97,141.45,37.4,8.05
362,Pangai,90,TO,1562709487,100,-19.8,-174.35,75.2,10.29
363,Hoyanger,20,NO,1562709488,76,61.22,6.07,62.6,4.7
364,Powell,1,US,1562709490,45,40.16,-83.08,90.0,4.7
365,Hami,100,CN,1562709491,22,42.84,93.51,82.91,4.45
366,Tessalit,49,ML,1562709492,33,20.2,1.01,90.11,11.18
367,Kigoma,23,TZ,1562709493,66,-4.88,29.64,77.33,7.14
368,Zyryanka,88,RU,1562709494,43,65.73,150.89,71.57,15.32
369,Olot,0,ES,1562709496,94,42.18,2.49,78.01,4.36
370,Vestmannaeyjar,100,IS,1562709497,71,63.44,-20.27,54.11,20.22
371,Nargana,100,PA,1562709498,72,9.44,-78.59,82.73,5.19
372,Mattawa,75,CA,1562709499,44,46.32,-78.7,81.0,9.17
373,Gamba,100,CN,1562709500,72,28.28,88.52,42.77,4.38
374,Kemlya,20,RU,1562709502,93,54.69,45.24,54.47,9.26
375,Ozinki,100,RU,1562709503,87,51.2,49.73,67.97,7.54
